,MSA,Notes,Quarter,Rate,Year,period
121,"Oklahoma City, OK",,2,60.6,2015,2015-02-01 00:00:00
122,"Omaha-Council Bluffs, NE-IA",,2,69.7,2015,2015-02-01 00:00:00
123,"Orlando, Kissimmee-Sanford, FL",,2,59.4,2015,2015-02-01 00:00:00
124,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,2,66.6,2015,2015-02-01 00:00:00
125,"Phoenix-Mesa-Scottsdale, AZ",,2,60.9,2015,2015-02-01 00:00:00
126,"Pittsburgh, PA",,2,65.8,2015,2015-02-01 00:00:00
127,"Portland-Vancouver-Hillsboro, OR-WA",,2,56.8,2015,2015-02-01 00:00:00
128,"Providence-Warwick, RI-MA",,2,62.4,2015,2015-02-01 00:00:00
129,"Raleigh, NC",,2,69.9,2015,2015-02-01 00:00:00
130,"Richmond, VA",,2,6.5,2015,2015-02-01 00:00:00
131,"Riverside-San Bernardino-Ontario, CA",,2,60.1,2015,2015-02-01 00:00:00
132,"Rochester, NY",,2,70.8,2015,2015-02-01 00:00:00
133,"Sacramento-Roseville-Arden-Arcade, CA",,2,59.7,2015,2015-02-01 00:00:00
134,St Louis,,2,71.8,2015,2015-02-01 00:00:00
135,"Salt Lake City, UT",,2,66.1,2015,2015-02-01 00:00:00
136,"San Antonio-New Braunfels, TX",,2,61.4,2015,2015-02-01 00:00:00
137,"San Diego-Carlsbad, CA",,2,51.5,2015,2015-02-01 00:00:00
138,"San Francisco-Oakland-Hayward, CA",,2,57.7,2015,2015-02-01 00:00:00
139,"San Jose-Sunnyvale-Santa Clara, CA",,2,5.1,2015,2015-02-01 00:00:00
140,"Seattle-Tacoma-Bellevue, WA",,2,60.9,2015,2015-02-01 00:00:00
141,"Syracuse, NY",,2,62.8,2015,2015-02-01 00:00:00
142,Tampa-St,,2,63.6,2015,2015-02-01 00:00:00
143,"Toledo, OH",,2,59.2,2015,2015-02-01 00:00:00
144,"Tucson, AZ ",,2,64.5,2015,2015-02-01 00:00:00
145,"Tulsa, OK",,2,66.4,2015,2015-02-01 00:00:00
146,"Urban Honolulu, HI",,2,56.5,2015,2015-02-01 00:00:00
147,"Virginia Beach-Norfolk-Newport News, VA-NC",,2,59.6,2015,2015-02-01 00:00:00
148,"Washington-Arlington-Alexandria, DC-VA-MD-WV",,2,65.8,2015,2015-02-01 00:00:00
149,"Worcester, MA",,2,56.2,2015,2015-02-01 00:00:00
150,"Akron, OH ",,3,,2015,2015-03-01 00:00:00
151,"Albany-Schenectady-Troy, NY ",,3,,2015,2015-03-01 00:00:00
152,"Alburquerque, NM",,3,,2015,2015-03-01 00:00:00
153,"Allentown-Bethlehem-Easton, PA-NJ",,3,,2015,2015-03-01 00:00:00
154,"Atlanta-Sandy Springs-Roswell, GA",,3,,2015,2015-03-01 00:00:00
155,"Austin-Round Rock, TX",,3,,2015,2015-03-01 00:00:00
156,"Baltimore-Columbia-Towson, MD",,3,,2015,2015-03-01 00:00:00
157,"Baton Rouge, LA",,3,,2015,2015-03-01 00:00:00
158,"Birmingham-Hoover, AL",,3,,2015,2015-03-01 00:00:00
159,"Boston-Cambridge-Newton, MA-NH",,3,,2015,2015-03-01 00:00:00
160,"Bridgeport-Stamford-Norwalk, CT",,3,,2015,2015-03-01 00:00:00
161,"Buffalo-Cheektowaga-Niagra Falls, NY",,3,,2015,2015-03-01 00:00:00
162,"Cape Coral-Fort Myers, FL",,3,,2015,2015-03-01 00:00:00
163,"Charleston-North Charleston-Summerville, SC",,3,,2015,2015-03-01 00:00:00
164,"Charlotte-Concord-Gastonia, NC-SC",,3,,2015,2015-03-01 00:00:00
165,"Chicago-Naperville-Elgin, IL-IN-WI",,3,,2015,2015-03-01 00:00:00
166,"Cincinnati, OH-KY-IN",,3,,2015,2015-03-01 00:00:00
167,"Cleveland-Elyria, OH",,3,,2015,2015-03-01 00:00:00
168,"Columbia, SC",,3,,2015,2015-03-01 00:00:00
169,"Columbus, OH",,3,,2015,2015-03-01 00:00:00
170,Dallas-Ft,,3,,2015,2015-03-01 00:00:00
171,"Dayton, OH",,3,,2015,2015-03-01 00:00:00
172,"Denver-Aurora-Lakewood, CO",,3,,2015,2015-03-01 00:00:00
173,"Detroit-Warren-Dearborn, MI",,3,,2015,2015-03-01 00:00:00
174,"Fresno, CA",,3,,2015,2015-03-01 00:00:00
175,"Grand Rapids-Wyoming, MI",,3,,2015,2015-03-01 00:00:00
176,"Greensboro-High Point, NC",,3,,2015,2015-03-01 00:00:00
177,"Hartford-West Hartford-East Hartford, CT",,3,,2015,2015-03-01 00:00:00
178,"Houston-The Woodlands-Sugar Land, TX",,3,,2015,2015-03-01 00:00:00
179,"Indianapolis-Carmel-Anderson, IN",,3,,2015,2015-03-01 00:00:00
180,"Jacksonville, FL",,3,,2015,2015-03-01 00:00:00
181,"Kansas City, MO-KS",,3,,2015,2015-03-01 00:00:00
182,"Knoxville, TN",,3,,2015,2015-03-01 00:00:00
183,"Las Vegas-Henderson-Paradise, NV",,3,,2015,2015-03-01 00:00:00
184,"Little Rock-North Little Rock-Conway, AR",,3,,2015,2015-03-01 00:00:00
185,"Los Angeles-Long Beach-Anaheim, CA",,3,,2015,2015-03-01 00:00:00
186,"Louisville/Jefferson County, KY-IN",,3,,2015,2015-03-01 00:00:00
187,"Memphis, TN-AR-MS",,3,,2015,2015-03-01 00:00:00
188,"Miami-Fort Lauderdale-West Palm Beach, FL",,3,,2015,2015-03-01 00:00:00
189,"Milwaukee-Waukesha-West Allis, WI",,3,,2015,2015-03-01 00:00:00
190,Minneapolis-St,,3,,2015,2015-03-01 00:00:00
191,"Nashville-Davidson-Murfreesboro-Franklin, TN",,3,,2015,2015-03-01 00:00:00
192,"New Haven-Milford, CT",,3,,2015,2015-03-01 00:00:00
193,"New Orleans-Metairie, LA",,3,,2015,2015-03-01 00:00:00
194,"New York-Newark-Jersey City, NY-NJ-PA",,3,,2015,2015-03-01 00:00:00
195,"North Port-Bradenton-Sarasota, FL",,3,,2015,2015-03-01 00:00:00
196,"Oklahoma City, OK",,3,,2015,2015-03-01 00:00:00
197,"Omaha-Council Bluffs, NE-IA",,3,,2015,2015-03-01 00:00:00
198,"Orlando, Kissimmee-Sanford, FL",,3,,2015,2015-03-01 00:00:00
199,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,3,,2015,2015-03-01 00:00:00
200,"Phoenix-Mesa-Scottsdale, AZ",,3,,2015,2015-03-01 00:00:00
201,"Pittsburgh, PA",,3,,2015,2015-03-01 00:00:00
202,"Portland-Vancouver-Hillsboro, OR-WA",,3,,2015,2015-03-01 00:00:00
203,"Providence-Warwick, RI-MA",,3,,2015,2015-03-01 00:00:00
204,"Raleigh, NC",,3,,2015,2015-03-01 00:00:00
205,"Richmond, VA",,3,,2015,2015-03-01 00:00:00
206,"Riverside-San Bernardino-Ontario, CA",,3,,2015,2015-03-01 00:00:00
207,"Rochester, NY",,3,,2015,2015-03-01 00:00:00
208,"Sacramento-Roseville-Arden-Arcade, CA",,3,,2015,2015-03-01 00:00:00
209,St Louis,,3,,2015,2015-03-01 00:00:00
210,"Salt Lake City, UT",,3,,2015,2015-03-01 00:00:00
211,"San Antonio-New Braunfels, TX",,3,,2015,2015-03-01 00:00:00
212,"San Diego-Carlsbad, CA",,3,,2015,2015-03-01 00:00:00
213,"San Francisco-Oakland-Hayward, CA",,3,,2015,2015-03-01 00:00:00
214,"San Jose-Sunnyvale-Santa Clara, CA",,3,,2015,2015-03-01 00:00:00
215,"Seattle-Tacoma-Bellevue, WA",,3,,2015,2015-03-01 00:00:00
216,"Syracuse, NY",,3,,2015,2015-03-01 00:00:00
